;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
346;43.63;43.63;43.63;68.95;68.95;68.95;52.09;52.09;52.09
347;43.56;43.56;43.56;68.72;68.72;68.72;52.03;52.03;52.03
348;43.47;43.47;43.47;68.47;68.47;68.47;51.96;51.96;51.96
349;43.41;43.41;43.41;68.36;68.36;68.36;51.87;51.87;51.87
350;43.33;43.33;43.33;68.33;68.33;68.33;51.84;51.84;51.84
351;43.27;43.27;43.27;68.29;68.29;68.29;51.78;51.78;51.78
352;43.17;43.17;43.17;68.24;68.24;68.24;51.72;51.72;51.72
353;43.1;43.1;43.1;68.18;68.18;68.18;51.62;51.62;51.62
354;43.02;43.02;43.02;68.14;68.14;68.14;51.57;51.57;51.57
355;42.96;42.96;42.96;68.11;68.11;68.11;51.5;51.5;51.5
