;derivative_mean;derivative_min;derivative_max
742;28.84;28.84;28.84
743;28.79;28.79;28.79
744;28.77;28.77;28.77
745;28.75;28.75;28.75
746;28.72;28.72;28.72
747;28.71;28.71;28.71
748;28.7;28.7;28.7
749;28.67;28.67;28.67
750;28.65;28.65;28.65
751;28.63;28.63;28.63
752;28.61;28.61;28.61
753;28.6;28.6;28.6
754;28.58;28.58;28.58
755;28.56;28.56;28.56
756;28.53;28.53;28.53
757;28.51;28.51;28.51
758;28.51;28.51;28.51
759;28.5;28.5;28.5
760;28.48;28.48;28.48
761;28.46;28.46;28.46
762;28.44;28.44;28.44
763;28.42;28.42;28.42
764;28.4;28.4;28.4
765;28.38;28.38;28.38
766;28.38;28.38;28.38
767;28.36;28.36;28.36
768;28.34;28.34;28.34
769;28.33;28.33;28.33
770;28.32;28.32;28.32
771;28.3;28.3;28.3
772;28.28;28.28;28.28
773;28.25;28.25;28.25
774;28.23;28.23;28.23
775;28.2;28.2;28.2
776;28.19;28.19;28.19
777;28.17;28.17;28.17
778;28.16;28.16;28.16
779;28.14;28.14;28.14
780;28.12;28.12;28.12
781;28.09;28.09;28.09
782;28.07;28.07;28.07
783;28.05;28.05;28.05
784;28.02;28.02;28.02
785;28.0;28.0;28.0
786;27.99;27.99;27.99
787;27.96;27.96;27.96
788;27.93;27.93;27.93
789;27.91;27.91;27.91
790;27.88;27.88;27.88
791;27.86;27.86;27.86
792;27.85;27.85;27.85
793;27.83;27.83;27.83
794;27.81;27.81;27.81
795;27.78;27.78;27.78
796;27.75;27.75;27.75
797;27.73;27.73;27.73
798;27.71;27.71;27.71
799;27.7;27.7;27.7
800;27.68;27.68;27.68
801;27.65;27.65;27.65
802;27.63;27.63;27.63
803;27.62;27.62;27.62
804;27.6;27.6;27.6
805;27.58;27.58;27.58
806;27.55;27.55;27.55
807;27.52;27.52;27.52
808;27.51;27.51;27.51
809;27.5;27.5;27.5
810;27.49;27.49;27.49
811;27.46;27.46;27.46
812;27.45;27.45;27.45
813;27.43;27.43;27.43
814;27.4;27.4;27.4
815;27.38;27.38;27.38
816;27.35;27.35;27.35
817;27.33;27.33;27.33
818;27.32;27.32;27.32
819;27.31;27.31;27.31
820;27.29;27.29;27.29
821;27.27;27.27;27.27
822;27.24;27.24;27.24
823;27.23;27.23;27.23
824;27.18;27.18;27.18
825;27.16;27.16;27.16
826;27.15;27.15;27.15
827;27.14;27.14;27.14
828;27.12;27.12;27.12
829;27.12;27.12;27.12
830;27.1;27.1;27.1
831;27.08;27.08;27.08
832;27.05;27.05;27.05
833;27.04;27.04;27.04
834;27.02;27.02;27.02
835;27.01;27.01;27.01
836;27.0;27.0;27.0
837;26.99;26.99;26.99
838;26.97;26.97;26.97
839;26.96;26.96;26.96
840;26.95;26.95;26.95
841;26.93;26.93;26.93
842;26.93;26.93;26.93
843;26.92;26.92;26.92
844;26.91;26.91;26.91
845;26.88;26.88;26.88
846;26.87;26.87;26.87
847;26.85;26.85;26.85
848;26.85;26.85;26.85
849;26.84;26.84;26.84
850;26.82;26.82;26.82
851;26.8;26.8;26.8
852;26.78;26.78;26.78
853;26.76;26.76;26.76
854;26.74;26.74;26.74
855;26.72;26.72;26.72
856;26.7;26.7;26.7
857;26.68;26.68;26.68
858;26.67;26.67;26.67
859;26.66;26.66;26.66
860;26.65;26.65;26.65
861;26.64;26.64;26.64
862;26.64;26.64;26.64
863;26.62;26.62;26.62
864;26.61;26.61;26.61
865;26.6;26.6;26.6
866;26.61;26.61;26.61
867;26.59;26.59;26.59
868;26.58;26.58;26.58
869;26.55;26.55;26.55
870;26.54;26.54;26.54
871;26.52;26.52;26.52
872;26.51;26.51;26.51
873;26.49;26.49;26.49
874;26.47;26.47;26.47
875;26.45;26.45;26.45
876;26.44;26.44;26.44
877;26.42;26.42;26.42
878;26.41;26.41;26.41
879;26.41;26.41;26.41
880;26.4;26.4;26.4
881;26.39;26.39;26.39
882;26.37;26.37;26.37
883;26.36;26.36;26.36
884;26.34;26.34;26.34
885;26.32;26.32;26.32
886;26.31;26.31;26.31
887;26.29;26.29;26.29
888;26.28;26.28;26.28
889;26.27;26.27;26.27
890;26.26;26.26;26.26
891;26.24;26.24;26.24
892;26.23;26.23;26.23
893;26.21;26.21;26.21
894;26.2;26.2;26.2
895;26.19;26.19;26.19
896;26.17;26.17;26.17
897;26.17;26.17;26.17
898;26.15;26.15;26.15
899;26.14;26.14;26.14
900;26.12;26.12;26.12
901;26.11;26.11;26.11
902;26.09;26.09;26.09
903;26.07;26.07;26.07
904;26.05;26.05;26.05
905;26.03;26.03;26.03
906;26.01;26.01;26.01
907;25.98;25.98;25.98
908;25.97;25.97;25.97
909;25.94;25.94;25.94
910;25.93;25.93;25.93
911;25.9;25.9;25.9
912;25.89;25.89;25.89
913;25.85;25.85;25.85
914;25.85;25.85;25.85
915;25.83;25.83;25.83
916;25.82;25.82;25.82
917;25.81;25.81;25.81
918;25.8;25.8;25.8
919;25.78;25.78;25.78
920;25.78;25.78;25.78
