;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max
441;61.68;61.68;61.68;60.46;60.46;60.46
442;61.65;61.65;61.65;60.46;60.46;60.46
443;61.63;61.63;61.63;60.36;60.36;60.36
444;61.62;61.62;61.62;59.96;59.96;59.96
445;61.6;61.6;61.6;59.89;59.89;59.89
446;61.56;61.56;61.56;59.87;59.87;59.87
447;61.54;61.54;61.54;59.87;59.87;59.87
448;61.21;61.21;61.21;59.87;59.87;59.87
449;61.18;61.18;61.18;59.88;59.88;59.88
450;61.14;61.14;61.14;59.79;59.79;59.79
451;61.13;61.13;61.13;59.72;59.72;59.72
452;61.04;61.04;61.04;59.74;59.74;59.74
453;60.84;60.84;60.84;59.58;59.58;59.58
454;60.83;60.83;60.83;59.55;59.55;59.55
455;60.81;60.81;60.81;59.5;59.5;59.5
456;60.75;60.75;60.75;59.47;59.47;59.47
457;60.73;60.73;60.73;59.46;59.46;59.46
458;60.72;60.72;60.72;59.43;59.43;59.43
459;60.7;60.7;60.7;59.38;59.38;59.38
460;60.67;60.67;60.67;59.35;59.35;59.35
461;60.58;60.58;60.58;59.33;59.33;59.33
462;60.57;60.57;60.57;59.32;59.32;59.32
463;60.42;60.42;60.42;59.31;59.31;59.31
464;60.39;60.39;60.39;58.81;58.81;58.81
465;60.35;60.35;60.35;58.77;58.77;58.77
466;60.32;60.32;60.32;58.74;58.74;58.74
467;60.31;60.31;60.31;58.73;58.73;58.73
468;60.23;60.23;60.23;58.68;58.68;58.68
469;60.19;60.19;60.19;58.58;58.58;58.58
470;60.17;60.17;60.17;58.56;58.56;58.56
471;60.16;60.16;60.16;58.51;58.51;58.51
472;60.13;60.13;60.13;58.49;58.49;58.49
473;60.01;60.01;60.01;58.37;58.37;58.37
474;60.0;60.0;60.0;58.31;58.31;58.31
475;59.98;59.98;59.98;58.26;58.26;58.26
476;59.72;59.72;59.72;58.13;58.13;58.13
477;59.65;59.65;59.65;58.08;58.08;58.08
478;59.63;59.63;59.63;58.09;58.09;58.09
479;59.6;59.6;59.6;58.08;58.08;58.08
480;59.57;59.57;59.57;58.08;58.08;58.08
481;59.46;59.46;59.46;58.06;58.06;58.06
482;59.43;59.43;59.43;57.97;57.97;57.97
483;59.42;59.42;59.42;57.96;57.96;57.96
484;59.41;59.41;59.41;57.92;57.92;57.92
485;59.39;59.39;59.39;57.88;57.88;57.88
486;59.37;59.37;59.37;57.83;57.83;57.83
487;59.35;59.35;59.35;57.82;57.82;57.82
488;59.34;59.34;59.34;57.8;57.8;57.8
489;59.27;59.27;59.27;57.78;57.78;57.78
490;59.12;59.12;59.12;57.76;57.76;57.76
491;59.12;59.12;59.12;57.68;57.68;57.68
492;59.1;59.1;59.1;57.63;57.63;57.63
493;59.03;59.03;59.03;57.59;57.59;57.59
494;58.96;58.96;58.96;57.56;57.56;57.56
495;58.93;58.93;58.93;57.55;57.55;57.55
496;58.9;58.9;58.9;57.53;57.53;57.53
497;58.88;58.88;58.88;57.44;57.44;57.44
498;58.86;58.86;58.86;57.43;57.43;57.43
499;58.85;58.85;58.85;57.39;57.39;57.39
