;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
634;35.83;35.83;35.83
635;35.8;35.8;35.8
636;35.76;35.76;35.76
637;35.73;35.73;35.73
638;35.71;35.71;35.71
639;35.67;35.67;35.67
640;35.64;35.64;35.64
641;35.63;35.63;35.63
642;35.58;35.58;35.58
643;35.58;35.58;35.58
644;35.56;35.56;35.56
645;35.52;35.52;35.52
646;35.46;35.46;35.46
647;35.42;35.42;35.42
648;35.39;35.39;35.39
649;35.36;35.36;35.36
650;35.3;35.3;35.3
651;35.27;35.27;35.27
652;35.25;35.25;35.25
653;35.17;35.17;35.17
654;35.15;35.15;35.15
655;35.12;35.12;35.12
656;35.11;35.11;35.11
657;35.09;35.09;35.09
658;35.05;35.05;35.05
659;35.01;35.01;35.01
660;35.0;35.0;35.0
661;34.99;34.99;34.99
662;34.98;34.98;34.98
663;34.96;34.96;34.96
664;34.97;34.97;34.97
665;34.94;34.94;34.94
666;34.89;34.89;34.89
667;34.88;34.88;34.88
668;34.84;34.84;34.84
669;34.81;34.81;34.81
670;34.79;34.79;34.79
671;34.75;34.75;34.75
672;34.74;34.74;34.74
673;34.71;34.71;34.71
674;34.68;34.68;34.68
675;34.67;34.67;34.67
676;34.63;34.63;34.63
677;34.52;34.52;34.52
678;34.42;34.42;34.42
679;34.4;34.4;34.4
680;34.38;34.38;34.38
681;34.37;34.37;34.37
682;34.33;34.33;34.33
683;34.31;34.31;34.31
684;34.29;34.29;34.29
685;34.28;34.28;34.28
686;34.25;34.25;34.25
687;34.24;34.24;34.24
688;34.18;34.18;34.18
689;34.15;34.15;34.15
690;34.13;34.13;34.13
691;34.12;34.12;34.12
692;34.12;34.12;34.12
693;34.11;34.11;34.11
694;34.09;34.09;34.09
695;34.09;34.09;34.09
696;34.06;34.06;34.06
697;34.01;34.01;34.01
698;34.01;34.01;34.01
699;33.99;33.99;33.99
700;33.96;33.96;33.96
701;33.92;33.92;33.92
702;33.8;33.8;33.8
703;33.73;33.73;33.73
704;33.71;33.71;33.71
705;33.7;33.7;33.7
706;33.6;33.6;33.6
707;33.59;33.59;33.59
708;33.53;33.53;33.53
709;33.51;33.51;33.51
710;33.43;33.43;33.43
711;33.38;33.38;33.38
712;33.36;33.36;33.36
713;33.31;33.31;33.31
714;33.33;33.33;33.33
715;33.33;33.33;33.33
716;33.31;33.31;33.31
717;33.28;33.28;33.28
718;33.26;33.26;33.26
719;33.24;33.24;33.24
720;33.22;33.22;33.22
721;33.22;33.22;33.22
722;33.19;33.19;33.19
723;33.15;33.15;33.15
724;33.13;33.13;33.13
725;33.11;33.11;33.11
726;33.08;33.08;33.08
727;33.04;33.04;33.04
728;33.01;33.01;33.01
729;33.0;33.0;33.0
730;32.97;32.97;32.97
731;32.94;32.94;32.94
732;32.92;32.92;32.92
733;32.9;32.9;32.9
734;32.86;32.86;32.86
735;32.8;32.8;32.8
736;32.79;32.79;32.79
737;32.77;32.77;32.77
738;32.73;32.73;32.73
739;32.7;32.7;32.7
740;32.64;32.64;32.64
741;32.61;32.61;32.61
742;32.59;32.59;32.59
743;32.51;32.51;32.51
744;32.5;32.5;32.5
745;32.48;32.48;32.48
746;32.46;32.46;32.46
747;32.46;32.46;32.46
748;32.42;32.42;32.42
749;32.3;32.3;32.3
750;32.27;32.27;32.27
751;32.24;32.24;32.24
752;32.22;32.22;32.22
753;32.21;32.21;32.21
754;32.19;32.19;32.19
755;32.18;32.18;32.18
756;32.15;32.15;32.15
757;32.13;32.13;32.13
758;32.11;32.11;32.11
759;32.11;32.11;32.11
760;32.07;32.07;32.07
761;32.07;32.07;32.07
762;32.01;32.01;32.01
763;32.0;32.0;32.0
764;31.95;31.95;31.95
765;31.93;31.93;31.93
766;31.93;31.93;31.93
767;31.92;31.92;31.92
768;31.9;31.9;31.9
769;31.89;31.89;31.89
770;31.86;31.86;31.86
771;31.85;31.85;31.85
772;31.84;31.84;31.84
773;31.83;31.83;31.83
774;31.81;31.81;31.81
775;31.75;31.75;31.75
776;31.75;31.75;31.75
777;31.73;31.73;31.73
778;31.7;31.7;31.7
779;31.67;31.67;31.67
780;31.68;31.68;31.68
781;31.67;31.67;31.67
782;31.65;31.65;31.65
783;31.56;31.56;31.56
784;31.54;31.54;31.54
785;31.48;31.48;31.48
786;31.47;31.47;31.47
787;31.44;31.44;31.44
788;31.41;31.41;31.41
789;31.39;31.39;31.39
790;31.35;31.35;31.35
791;31.34;31.34;31.34
792;31.27;31.27;31.27
793;31.26;31.26;31.26
794;31.25;31.25;31.25
795;31.2;31.2;31.2
796;31.19;31.19;31.19
797;31.17;31.17;31.17
798;31.15;31.15;31.15
799;31.13;31.13;31.13
800;31.12;31.12;31.12
801;31.1;31.1;31.1
802;31.06;31.06;31.06
803;31.05;31.05;31.05
804;31.04;31.04;31.04
805;31.04;31.04;31.04
806;31.01;31.01;31.01
807;30.99;30.99;30.99
808;31.0;31.0;31.0
809;30.96;30.96;30.96
810;30.94;30.94;30.94
811;30.86;30.86;30.86
812;30.86;30.86;30.86
813;30.83;30.83;30.83
814;30.81;30.81;30.81
815;30.8;30.8;30.8
816;30.77;30.77;30.77
817;30.73;30.73;30.73
818;30.71;30.71;30.71
819;30.7;30.7;30.7
820;30.66;30.66;30.66
821;30.63;30.63;30.63
822;30.62;30.62;30.62
823;30.61;30.61;30.61
824;30.58;30.58;30.58
825;30.55;30.55;30.55
826;30.53;30.53;30.53
827;30.47;30.47;30.47
828;30.44;30.44;30.44
829;30.43;30.43;30.43
830;30.42;30.42;30.42
831;30.35;30.35;30.35
832;30.34;30.34;30.34
833;30.29;30.29;30.29
834;30.27;30.27;30.27
835;30.26;30.26;30.26
836;30.21;30.21;30.21
837;30.18;30.18;30.18
838;30.18;30.18;30.18
839;30.17;30.17;30.17
840;30.15;30.15;30.15
841;30.11;30.11;30.11
842;30.11;30.11;30.11
843;30.09;30.09;30.09
844;30.05;30.05;30.05
845;30.03;30.03;30.03
846;30.02;30.02;30.02
847;30.01;30.01;30.01
848;29.98;29.98;29.98
849;29.96;29.96;29.96
850;29.96;29.96;29.96
851;29.95;29.95;29.95
852;29.94;29.94;29.94
853;29.92;29.92;29.92
854;29.9;29.9;29.9
855;29.87;29.87;29.87
856;29.85;29.85;29.85
857;29.84;29.84;29.84
858;29.78;29.78;29.78
859;29.77;29.77;29.77
860;29.76;29.76;29.76
861;29.75;29.75;29.75
862;29.74;29.74;29.74
863;29.73;29.73;29.73
864;29.7;29.7;29.7
865;29.68;29.68;29.68
866;29.67;29.67;29.67
867;29.64;29.64;29.64
868;29.63;29.63;29.63
869;29.63;29.63;29.63
870;29.58;29.58;29.58
871;29.55;29.55;29.55
872;29.53;29.53;29.53
873;29.52;29.52;29.52
874;29.52;29.52;29.52
875;29.45;29.45;29.45
876;29.44;29.44;29.44
877;29.43;29.43;29.43
878;29.39;29.39;29.39
879;29.37;29.37;29.37
880;29.35;29.35;29.35
881;29.35;29.35;29.35
882;29.32;29.32;29.32
883;29.31;29.31;29.31
884;29.3;29.3;29.3
885;29.25;29.25;29.25
886;29.24;29.24;29.24
887;29.24;29.24;29.24
888;29.22;29.22;29.22
889;29.21;29.21;29.21
890;29.19;29.19;29.19
891;29.18;29.18;29.18
892;29.17;29.17;29.17
893;29.15;29.15;29.15
894;29.14;29.14;29.14
895;29.14;29.14;29.14
896;29.13;29.13;29.13
897;29.12;29.12;29.12
898;29.08;29.08;29.08
899;29.06;29.06;29.06
900;29.03;29.03;29.03
901;29.0;29.0;29.0
902;28.97;28.97;28.97
903;28.96;28.96;28.96
904;28.95;28.95;28.95
905;28.94;28.94;28.94
906;28.93;28.93;28.93
907;28.88;28.88;28.88
908;28.87;28.87;28.87
909;28.88;28.88;28.88
910;28.84;28.84;28.84
911;28.81;28.81;28.81
912;28.79;28.79;28.79
913;28.78;28.78;28.78
914;28.77;28.77;28.77
915;28.77;28.77;28.77
916;28.74;28.74;28.74
917;28.72;28.72;28.72
918;28.7;28.7;28.7
919;28.69;28.69;28.69
920;28.69;28.69;28.69
921;28.67;28.67;28.67
922;28.65;28.65;28.65
923;28.64;28.64;28.64
924;28.63;28.63;28.63
925;28.61;28.61;28.61
926;28.6;28.6;28.6
927;28.58;28.58;28.58
928;28.56;28.56;28.56
929;28.55;28.55;28.55
930;28.52;28.52;28.52
931;28.49;28.49;28.49
932;28.48;28.48;28.48
933;28.47;28.47;28.47
934;28.45;28.45;28.45
935;28.43;28.43;28.43
936;28.41;28.41;28.41
937;28.38;28.38;28.38
938;28.37;28.37;28.37
939;28.35;28.35;28.35
940;28.34;28.34;28.34
941;28.32;28.32;28.32
942;28.31;28.31;28.31
943;28.29;28.29;28.29
944;28.29;28.29;28.29
945;28.28;28.28;28.28
946;28.26;28.26;28.26
947;28.24;28.24;28.24
948;28.22;28.22;28.22
949;28.19;28.19;28.19
950;28.18;28.18;28.18
951;28.17;28.17;28.17
952;28.17;28.17;28.17
953;28.15;28.15;28.15
954;28.14;28.14;28.14
955;28.13;28.13;28.13
956;28.11;28.11;28.11
957;28.09;28.09;28.09
958;28.06;28.06;28.06
959;28.04;28.04;28.04
960;28.01;28.01;28.01
961;27.99;27.99;27.99
962;27.91;27.91;27.91
963;27.9;27.9;27.9
964;27.89;27.89;27.89
965;27.87;27.87;27.87
966;27.85;27.85;27.85
967;27.83;27.83;27.83
968;27.81;27.81;27.81
969;27.8;27.8;27.8
970;27.8;27.8;27.8
971;27.79;27.79;27.79
972;27.77;27.77;27.77
973;27.77;27.77;27.77
974;27.75;27.75;27.75
975;27.75;27.75;27.75
976;27.75;27.75;27.75
977;27.74;27.74;27.74
978;27.73;27.73;27.73
979;27.72;27.72;27.72
980;27.68;27.68;27.68
981;27.66;27.66;27.66
982;27.64;27.64;27.64
983;27.6;27.6;27.6
